name,id,address,city,district,type,location,tel,rating,cost,business_area
礼王府(不对外开放),B000A81F8Z,西城根南街9号(近西安门),北京市,西城区,风景名胜;风景名胜;风景名胜,"116.376444,39.920645",,4.2,0.00,
护国寺金刚殿(不对外开放),B0FFHCYXLG,西城西四牌楼之北(平安里地铁站B东北口步行400米),北京市,西城区,风景名胜;风景名胜;寺庙道观,"116.375300,39.935898",,4.7,0.00,积水潭
北京基督教会宽街堂,B000A81FGV,地安门东大街吉祥胡同10号,北京市,东城区,风景名胜;风景名胜;教堂,"116.401018,39.933164",010-84039432,4.7,0.00,沙滩
三洞七楼琉璃牌坊,B000A81FGW,神路街与朝阳门外大街辅路交叉口东南20米,北京市,朝阳区,风景名胜;风景名胜相关;旅游景点,"116.443846,39.923304",,4.0,,朝外
联馨园,B000A81FGX,金台西路2号,北京市,朝阳区,风景名胜;公园广场;公园,"116.468584,39.920834",,3.7,,呼家楼
亚运村升旗广场,B000A81FGZ,北辰东路8号院,北京市,朝阳区,风景名胜;公园广场;城市广场,"116.403613,39.993335",,4.3,,北辰
田汉故居(不对外开放),B000A81FH2,东四北大街细管胡同9号,北京市,东城区,风景名胜;风景名胜;纪念馆,"116.415517,39.937132",,4.5,,东四
安定门健身乐园,B000A81FH3,安定门东滨河路(雍和宫地铁站A西北口步行350米),北京市,东城区,体育休闲服务;运动场馆;户外健身场所,"116.413223,39.949585",,4.4,,和平里
和平街社区乐雅园,B000A81FH4,青年沟路与和平里东街交汇,北京市,朝阳区,风景名胜;风景名胜相关;旅游景点,"116.424799,39.962308",,3.7,,和平里
地坛公园,B000A81FMM,安定门外大街,北京市,东城区,风景名胜;公园广场;公园,"116.414449,39.953778",010-64214657;010-84257506,4.9,4.00,和平里
北海公园-大慈真如宝殿,B000A9WZZ5,文津街1号,北京市,西城区,风景名胜;风景名胜;风景名胜,"116.388396,39.932254",,4.2,,北海
北海公园-天王殿,B000A81FOJ,文津街1号北海公园(西北角),北京市,西城区,风景名胜;风景名胜;风景名胜,"116.388317,39.931933",,3.6,,北海
北海公园-九龙壁,B0FFG1885G,北京市什刹海街道文津街1号(故宫北)北海公园西天梵境内,北京市,西城区,风景名胜;风景名胜;风景名胜,"116.387599,39.931861",010-64002378,4.8,,北海
鼓楼,B0FFFS33G2,东城区钟楼湾胡同临字9号,北京市,东城区,风景名胜;风景名胜;风景名胜,"116.395937,39.940781",010-84027869;010-84027870,4.9,,安定门
